serie,numero,idioma,url,filename,status,message
Informe legislativo,3,,https://observatoriolegislativocele.com/wp-content/uploads/Reporte-7_-Reino-Unido-Proyecto-de-ley-de-seguridad-en-linea.pdf,Informe_legislativo_3.pdf,saved,saved
Informe legislativo,2,,https://observatoriolegislativocele.com/wp-content/uploads/Reporte-4_-Canada-Online-Streaming-Act.pdf,Informe_legislativo_2.pdf,saved,saved
Informe legislativo,1,,https://observatoriolegislativocele.com/wp-content/uploads/Reporte-1_-Reino-Unido-Recomendaciones-sobre-Leyes-sobre-crimenes-de-odio.pdf,Informe_legislativo_1.pdf,saved,saved
Artículo de investigación,57a,ESP,https://www.palermo.edu/Archivos_content/2023/cele/papers/230621-reporte-OSINT.pdf,Artículo_de_investigación_57a_ESP.pdf,saved,saved
Artículo de investigación,55,ENG,https://www.palermo.edu/Archivos_content/2023/cele/papers/Requiring-the-local-presence-of-ICT.pdf,Artículo_de_investigación_55_ENG.pdf,saved,saved
Trabajos publicados,,ESP,https://rchdt.uchile.cl/index.php/RCHDT/article/view/65368/72153,Trabajos_publicados_missing_ESP_01.pdf,saved,"saved, but content type looks unusual: text/html; charset=utf-8"
Artículo de investigación,56,ESP,https://www.palermo.edu/Archivos_content/2023/cele/papers/230314-Supervision-de-la-plataforma.pdf,Artículo_de_investigación_56_ESP.pdf,saved,saved
Artículo de investigación,56,ENG,https://www.palermo.edu/Archivos_content/2022/cele/noviembre/paper-cele/Platform-Oversight.pdf,Artículo_de_investigación_56_ENG.pdf,saved,saved
Artículo de investigación,55,ESP,https://www.palermo.edu/Archivos_content/2022/cele/papers/exigencia-de-presencia-local-empresas-TIC-1.pdf,Artículo_de_investigación_55_ESP.pdf,saved,saved
Trabajos publicados,,ESP,https://revistajuridica.utdt.edu/ojs/index.php/ratj/article/view/436,Trabajos_publicados_missing_ESP_02.pdf,saved,"saved, but content type looks unusual: text/html; charset=utf-8"
Artículo de investigación,54,ENG,https://www.palermo.edu/Archivos_content/2022/cele/julio/papers/supporting-media-viability-in-the-americas.pdf,Artículo_de_investigación_54_ENG.pdf,saved,saved
Artículo de investigación,54,ESP,https://www.palermo.edu/Archivos_content/2022/cele/julio/papers/viabilidad-mediatica-en-america-latina.pdf,Artículo_de_investigación_54_ESP.pdf,saved,saved
Artículo de investigación,53,,https://www.palermo.edu/Archivos_content/2022/cele/papers/La-regulacion-de-la-libertad-de-expresion-America-Latina.pdf,Artículo_de_investigación_53.pdf,saved,saved
Documento de posición,9,,https://www.palermo.edu/Archivos_content/2022/cele/marzo/amicus-curiae/amicus-curiae-cele.pdf,Documento_de_posición_9.pdf,saved,saved
Artículo de investigación,52,,https://www.palermo.edu/Archivos_content/2021/cele/papers/HRIA-3.pdf,Artículo_de_investigación_52.pdf,saved,saved
Artículo de investigación,51,POR,https://www.palermo.edu/Archivos_content/2021/cele/papers/Desinformacao-e-servidores-publicos.pdf,Artículo_de_investigación_51_POR.pdf,saved,saved
Artículo de investigación,51,ENG,https://www.palermo.edu/Archivos_content/2021/cele/papers/Disinformation-and-public-officials.pdf,Artículo_de_investigación_51_ENG.pdf,saved,saved
Artículo de investigación,51,ESP,https://www.palermo.edu/Archivos_content/2021/cele/papers/Desinformacion-y-funcionarios-publicos.pdf,Artículo_de_investigación_51_ESP.pdf,saved,saved
Artículo de investigación,50,,https://www.palermo.edu/Archivos_content/2021/cele/papers/Disinformation-in-democracy%20(2).pdf,Artículo_de_investigación_50.pdf,saved,saved
Artículo de investigación,49,,https://www.palermo.edu/Archivos_content/2021/cele/papers/Responsabilidad%20de%20intermediarios%20ES.pdf,Artículo_de_investigación_49.pdf,saved,saved
Artículo de investigación,48,ENG,https://www.palermo.edu/Archivos_content/2021/cele/papers/Disinformation-and-Content-Control.pdf,Artículo_de_investigación_48_ENG.pdf,saved,saved
Artículo de investigación,48,ESP,https://www.palermo.edu/Archivos_content/2021/cele/papers/Moderacion-Covid-19.pdf,Artículo_de_investigación_48_ESP.pdf,saved,saved
Artículo de investigación,47,,https://www.palermo.edu/Archivos_content/2021/cele/datos-personales-argentina-ecuador/Datos-personales-Argentina-y-Ecuador.pdf,Artículo_de_investigación_47.pdf,saved,saved
Artículo de investigación,46,ENG,https://www.palermo.edu/Archivos_content/2021/cele/papers/Fake-news-on-the-Internet-2021.pdf,Artículo_de_investigación_46_ENG.pdf,saved,saved
Artículo de investigación,46,ESP,https://www.palermo.edu/Archivos_content/2021/cele/papers/Desinformacion-y-acciones-de-plataformas-2021.pdf,Artículo_de_investigación_46_ESP.pdf,saved,saved
Informe legislativo,,,,Informe_legislativo_missing_01.pdf,skipped,blank Link
Informe legislativo,,,https://www.palermo.edu/Archivos_content/2020/cele/diciembre/Observatorio-Brasil.pdf,Informe_legislativo_missing_02.pdf,saved,saved
Artículo de investigación,45,ENG,https://www.palermo.edu/Archivos_content/2021/cele/papers/Human-Rights-Impact-Assessments.pdf,Artículo_de_investigación_45_ENG.pdf,saved,saved
Artículo de investigación,45,ESP,,Artículo_de_investigación_45_ESP.pdf,skipped,blank Link
Artículo de investigación,44,,https://www.palermo.edu/Archivos_content/2020/cele/septiembre/La-desinformacion-en-democracia.pdf,Artículo_de_investigación_44.pdf,saved,saved
Artículo de investigación,43,ENG,https://www.palermo.edu/Archivos_content/2021/cele/papers/ICT-and-Human-Rights.pdf,Artículo_de_investigación_43_ENG.pdf,saved,saved
Artículo de investigación,43,ESP,,Artículo_de_investigación_43_ESP.pdf,skipped,blank Link
Artículo de investigación,42,,https://www.palermo.edu/Archivos_content/2020/cele/octubre/libertad-expresion/Libertad-de-expresion-y-brecha-digital-de-genero-en-Mexico.pdf,Artículo_de_investigación_42.pdf,saved,saved
Trabajos publicados,,,https://policyreview.info/pdf/policyreview-2026-1-2079.pdf,Trabajos_publicados_missing_05.pdf,saved,saved
Compilaciones,III,ENG,https://www.palermo.edu/Archivos_content/2020/cele/marzo/Libro-Internet-and-Human-Rights-III.pdf,Compilaciones_III_ENG_01.pdf,saved,saved
Compilaciones,III,ESP,https://www.palermo.edu/Archivos_content/2020/cele/marzo/Internet_y_Derechos_HumanosIII.pdf,Compilaciones_III_ESP_01.pdf,saved,saved
Artículo de investigación,41,,https://www.palermo.edu/Archivos_content/2020/cele/agosto/El-desarrollo-institucional-PADF-Canabarro.pdf,Artículo_de_investigación_41.pdf,saved,saved
